Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J3",CONN_SD-43045-001_04_MOL,2,Conn_02x02_Counter_Clockwise,
J2,CONN_SD-44769-001_04_MOL,1,Conn_02x02_Counter_Clockwise,
